new_times,dat1_interp,dat2_interp
0.352942943,989.2916602,762.5465465
0.852942943,987.6776217,793.374379
1.352942943,982.2696702,824.2022115
1.852942943,969.6229623,855.0300439
2.352942943,964.1266362,835.7060672
2.852942943,970.7717769,782.8017112
3.352942943,977.5392174,741.8358347
3.852942943,984.4577665,713.6172864
4.352942943,978.6693593,709.2659541
4.852942943,960.093762,709.6808289
5.352942943,944.7136737,706.483217
5.852942943,932.2530571,698.2549261
6.352942943,935.6348244,686.6988778
6.852942943,948.7214904,678.1871311
7.352942943,957.1908644,677.3641639
7.852942943,964.2424944,691.8825807
8.352942943,951.9196814,757.3571032
8.852942943,936.4818403,817.6889579
9.352942943,965.2325478,870.9464159
9.852942943,994.713981,878.5634919
10.35294294,984.5282483,876.7148188
10.85294294,973.4997493,847.1426968
11.35294294,951.1986147,834.3856659
11.85294294,929.4477903,841.2463142
12.35294294,911.7533253,862.6651827
12.85294294,904.4035211,888.2444821
13.35294294,927.0648675,917.7183307
13.85294294,943.9481102,942.6316174
14.35294294,954.0250299,958.8507958
14.85294294,942.7253422,964.6786276
15.35294294,915.9780733,958.7871451
15.85294294,925.1151914,954.1354089
16.35294294,952.4106739,950.5608842
16.85294294,967.093836,943.6040216
17.35294294,979.5516089,934.6001998
17.85294294,973.8724633,936.2097865
18.35294294,966.9740525,941.8541891
18.85294294,957.5492805,956.0612125
19.35294294,949.4066396,971.6585365
19.85294294,971.3702921,986.4765154
20.35294294,990.4398574,1000.073874
20.85294294,992.5507778,976.0544542
21.35294294,990.7746563,952.7964538
21.85294294,969.4008364,954.7664345
22.35294294,954.1657534,955.7103384
22.85294294,967.4958475,949.3934649
23.35294294,977.756768,955.8529197
23.85294294,979.8557102,1010.1348
24.35294294,974.9074985,1055.601857
24.85294294,954.9086002,1082.51004
25.35294294,937.5411942,1104.74542
25.85294294,924.9271514,1111.171798
26.35294294,927.1137192,1117.558247
26.85294294,945.8393556,1122.134802
27.35294294,953.8349729,1126.711356
27.85294294,955.6821781,1117.747516
28.35294294,941.5013876,1105.111704
28.85294294,921.4045308,1083.601567
29.35294294,925.4835597,1054.262442
29.85294294,934.9400566,1032.239391
30.35294294,941.2485847,1024.876207
30.85294294,946.5205269,1018.474559
31.35294294,944.0433952,1014.760032
31.85294294,937.5537528,1007.298806
32.35294294,916.7327712,986.9044516
32.85294294,901.2724576,958.5483261
33.35294294,896.4763105,898.5165203
33.85294294,904.4338158,844.5078902
34.35294294,923.7571953,807.6732243
34.85294294,933.052363,796.5687093
35.35294294,938.8302615,806.3882603
35.85294294,921.5671183,815.5662917
36.35294294,901.3349688,828.3868002
36.85294294,904.9532802,847.8385965
37.35294294,910.9082302,871.171018
37.85294294,926.1441454,896.160684
38.35294294,934.2417733,936.6715106
38.85294294,930.9579171,965.1616212
39.35294294,916.1269536,949.5560003
39.85294294,890.3965301,937.1087248
40.35294294,884.4703525,932.896797
40.85294294,888.9431546,929.9585513
41.35294294,905.4749828,928.9256735
41.85294294,920.8058673,941.9980789
42.35294294,915.4837019,967.0907452
42.85294294,909.9612576,983.0553793
43.35294294,903.8999328,994.7834892
43.85294294,907.8163372,992.0050789
44.35294294,924.0392767,983.940223
44.85294294,932.8168698,980.2867987
45.35294294,937.5259592,978.2069445
45.85294294,931.839458,973.0796841
46.35294294,923.3410739,967.0597692
46.85294294,908.9948764,979.5583987
47.35294294,896.2630209,996.1781223
47.85294294,915.1257544,995.4674618
48.35294294,929.6497833,992.5278605
48.85294294,932.7245476,977.6007902
49.35294294,931.8151135,961.1905772
49.85294294,925.3400529,956.3810562
50.35294294,911.0464441,952.782358
50.85294294,890.3083368,981.2254604
51.35294294,889.9778214,1008.776997
